grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
iii,1,Fun with Friends (Fun with Friends),6/4,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch01_20260815_181018.md,genon/out/runlogs/batch_english_iii_ch01_20260815_181018.log
iii,2,Colours (Fun with Friends),7/4,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch02_20260815_181018.md,genon/out/runlogs/batch_english_iii_ch02_20260815_181018.log
iii,3,Badal and Moti (Badal and Moti),12/10/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch03_20260815_181019.md,genon/out/runlogs/batch_english_iii_ch03_20260815_181018.log
iii,4,Best Friends (Best Friends),11/9/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch04_20260815_181019.md,genon/out/runlogs/batch_english_iii_ch04_20260815_181018.log
iii,5,What do You do? (Best Friends),4/2,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch05_20260815_181019.md,genon/out/runlogs/batch_english_iii_ch05_20260815_181018.log
iii,6,Toys and Games (Picture Reading) (Toys and Games),6/4,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch06_20260815_181019.md,genon/out/runlogs/batch_english_iii_ch06_20260815_181018.log
iii,7,Out in the Garden (Toys and Games),7/4,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch07_20260815_181019.md,genon/out/runlogs/batch_english_iii_ch07_20260815_181018.log
iii,8,Talking Toys (Talking Toys),11/9/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch08_20260815_181019.md,genon/out/runlogs/batch_english_iii_ch08_20260815_181018.log
iii,9,Paper Boats (Paper Boats),9/7/5,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch09_20260815_181020.md,genon/out/runlogs/batch_english_iii_ch09_20260815_181018.log
iii,10,Good Food — Picture Reading (The Big Laddoo),4/2,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch10_20260815_181020.md,genon/out/runlogs/batch_english_iii_ch10_20260815_181018.log
iii,11,The Big Laddoo (The Big Laddoo),12/10/7,0,0.0,0.2,0,ALL PASS,1,,genon/out/library_reports/english_iii_ch11_20260815_181020.md,genon/out/runlogs/batch_english_iii_ch11_20260815_181018.log
iii,12,Thank God! (Thank God!),9/7/5,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch12_20260815_181020.md,genon/out/runlogs/batch_english_iii_ch12_20260815_181018.log
iii,13,Madhu's Wish (Madhu's Wish),11/9/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch13_20260815_181021.md,genon/out/runlogs/batch_english_iii_ch13_20260815_181018.log
iii,14,The Sky — Picture Reading (Night),4/2,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch14_20260815_181021.md,genon/out/runlogs/batch_english_iii_ch14_20260815_181018.log
iii,15,Night (Night),7/4,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch15_20260815_181021.md,genon/out/runlogs/batch_english_iii_ch15_20260815_181018.log
iii,16,Chanda Mama Counts the Stars (Chanda Mama Counts the Stars),9/7/5,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch16_20260815_181021.md,genon/out/runlogs/batch_english_iii_ch16_20260815_181018.log
iii,17,Chandrayaan (Chandrayaan),11/9/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iii_ch17_20260815_181021.md,genon/out/runlogs/batch_english_iii_ch17_20260815_181018.log
iv,1,Together We Can,12/10/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iv_ch01_20260815_181021.md,genon/out/runlogs/batch_english_iv_ch01_20260815_181018.log
iv,2,The Tinkling Bells,13/11/8,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iv_ch02_20260815_181022.md,genon/out/runlogs/batch_english_iv_ch02_20260815_181018.log
iv,3,"Be Smart, Be Safe",11/9/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iv_ch03_20260815_181022.md,genon/out/runlogs/batch_english_iv_ch03_20260815_181018.log
iv,4,One Thing at a Time,10/8/6,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iv_ch04_20260815_181022.md,genon/out/runlogs/batch_english_iv_ch04_20260815_181018.log
iv,5,The Old Stag,10/8/6,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iv_ch05_20260815_181022.md,genon/out/runlogs/batch_english_iv_ch05_20260815_181018.log
iv,6,Braille,12/10/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iv_ch06_20260815_181022.md,genon/out/runlogs/batch_english_iv_ch06_20260815_181018.log
iv,7,"Fit Body, Fit Mind, Fit Nation",11/9/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iv_ch07_20260815_181023.md,genon/out/runlogs/batch_english_iv_ch07_20260815_181018.log
iv,8,The Lagori Champions,15/12/9,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iv_ch08_20260815_181023.md,genon/out/runlogs/batch_english_iv_ch08_20260815_181018.log
iv,9,Hekko,10/8/6,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iv_ch09_20260815_181023.md,genon/out/runlogs/batch_english_iv_ch09_20260815_181018.log
iv,10,The Swing,11/9/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_iv_ch10_20260815_181023.md,genon/out/runlogs/batch_english_iv_ch10_20260815_181018.log
