grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
iii,1,Fun with Friends (Fun with Friends),6/4,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch01_20260813_175733.log
iii,2,Colours (Fun with Friends),7/4,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch02_20260813_175733.log
iii,3,Badal and Moti (Badal and Moti),12/10/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch03_20260813_175733.log
iii,4,Best Friends (Best Friends),11/9/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch04_20260813_175733.log
iii,5,What do You do? (Best Friends),4/2,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch05_20260813_175733.log
iii,6,Toys and Games (Picture Reading) (Toys and Games),6/4,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch06_20260813_175733.log
iii,7,Out in the Garden (Toys and Games),7/4,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch07_20260813_175733.log
iii,8,Talking Toys (Talking Toys),11/9/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch08_20260813_175733.log
iii,9,Paper Boats (Paper Boats),9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch09_20260813_175733.log
iii,10,Good Food — Picture Reading (The Big Laddoo),4/2,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch10_20260813_175733.log
iii,11,The Big Laddoo (The Big Laddoo),12/10/7,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/english_iii_ch11_20260813_175735.md,genon/out/runlogs/batch_english_iii_ch11_20260813_175733.log
iii,12,Thank God! (Thank God!),9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch12_20260813_175733.log
iii,13,Madhu's Wish (Madhu's Wish),11/9/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch13_20260813_175733.log
iii,14,The Sky — Picture Reading (Night),4/2,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch14_20260813_175733.log
iii,15,Night (Night),7/4,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch15_20260813_175733.log
iii,16,Chanda Mama Counts the Stars (Chanda Mama Counts the Stars),9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch16_20260813_175733.log
iii,17,Chandrayaan (Chandrayaan),11/9/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_iii_ch17_20260813_175733.log
