grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
ix,1,How I Taught My Grandmother to Read (How I Taught My Grandmother to Read),13/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch01_20260813_180921.log
ix,2,Bharat Our Land (How I Taught My Grandmother to Read),6/4,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch02_20260813_180921.log
ix,3,The Pot Maker (The Pot Maker),14/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch03_20260813_180921.log
ix,4,Gifts of Grace: Honouring Our Vocations (The Pot Maker),7/4,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch04_20260813_180921.log
ix,5,Winds of Change (Winds of Change),10/8/6,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch05_20260813_180921.log
ix,6,Canvas of Soil (Winds of Change),6/4,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch06_20260813_180921.log
ix,7,Vitamin-M (Vitamin-M),17/14/10,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/english_ix_ch07_20260813_180922.md,genon/out/runlogs/batch_english_ix_ch07_20260813_180921.log
ix,8,I Cannot Remember My Mother (Vitamin-M),7/4,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch08_20260813_180921.log
ix,9,The World of Limitless Possibilities (The World of Limitless Possibilities),11/9/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch09_20260813_180921.log
ix,10,Nine Gold Medals (The World of Limitless Possibilities),8/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch10_20260813_180921.log
ix,11,Twin Melodies (Twin Melodies),14/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch11_20260813_180921.log
ix,12,A Friend Found in Music (Twin Melodies),5/3,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch12_20260813_180921.log
ix,13,Carrier of Words (Carrier of Words),15/12/9,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch13_20260813_180921.log
ix,14,Words (Carrier of Words),9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch14_20260813_180921.log
ix,15,Follow That Dream (Follow That Dream),9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch15_20260813_180921.log
ix,16,Believe in Yourself (Follow That Dream),9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_english_ix_ch16_20260813_180921.log
