grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
iii,1,What's in a Name?,7/4,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch01_20260813_175736.log
iii,2,Toy Joy,8/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch02_20260813_175736.log
iii,3,Double Century,14/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch03_20260813_175736.log
iii,4,Vacation with My Nani Maa,11/9/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch04_20260813_175736.log
iii,5,Fun with Shapes,14/11/8,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/mathematics_iii_ch05_20260813_175737.md,genon/out/runlogs/batch_mathematics_iii_ch05_20260813_175736.log
iii,6,House of Hundreds - I,13/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch06_20260813_175736.log
iii,7,Raksha Bandhan,14/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch07_20260813_175736.log
iii,8,Fair Share,10/8/6,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch08_20260813_175736.log
iii,9,House of Hundreds - II,13/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch09_20260813_175736.log
iii,10,Fun at Class Party!,14/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch10_20260813_175736.log
iii,11,Filling and Lifting,10/8/6,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch11_20260813_175736.log
iii,12,Give and Take,8/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch12_20260813_175736.log
iii,13,Time Goes On,14/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch13_20260813_175736.log
iii,14,The Surajkund Fair,10/8/6,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_iii_ch14_20260813_175736.log
