grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
v,1,We the Travellers—I,9/7/5,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch01_20260820_154014.md,genon/out/runlogs/batch_mathematics_v_ch01_20260820_154014.log
v,2,Fractions,8/5,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch02_20260820_154014.md,genon/out/runlogs/batch_mathematics_v_ch02_20260820_154014.log
v,3,Angles as Turns,11/9/7,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch03_20260820_154015.md,genon/out/runlogs/batch_mathematics_v_ch03_20260820_154014.log
v,4,We the Travellers — II,13/11/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch04_20260820_154015.md,genon/out/runlogs/batch_mathematics_v_ch04_20260820_154014.log
v,5,Far and Near,16/13/10,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch05_20260820_154016.md,genon/out/runlogs/batch_mathematics_v_ch05_20260820_154014.log
v,6,The Dairy Farm,13/11/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch06_20260820_154016.md,genon/out/runlogs/batch_mathematics_v_ch06_20260820_154014.log
v,7,Shapes and Patterns,11/9/7,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch07_20260820_154016.md,genon/out/runlogs/batch_mathematics_v_ch07_20260820_154014.log
v,8,Weight and Capacity,13/11/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch08_20260820_154017.md,genon/out/runlogs/batch_mathematics_v_ch08_20260820_154014.log
v,9,Coconut Farm,13/11/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch09_20260820_154017.md,genon/out/runlogs/batch_mathematics_v_ch09_20260820_154014.log
v,10,Symmetrical Designs,9/7/5,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch10_20260820_154017.md,genon/out/runlogs/batch_mathematics_v_ch10_20260820_154014.log
v,11,Grandmother's Quilt,11/9/7,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch11_20260820_154018.md,genon/out/runlogs/batch_mathematics_v_ch11_20260820_154014.log
v,12,Racing Seconds,8/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch12_20260820_154018.md,genon/out/runlogs/batch_mathematics_v_ch12_20260820_154014.log
v,13,Animal Jumps,8/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch13_20260820_154018.md,genon/out/runlogs/batch_mathematics_v_ch13_20260820_154014.log
v,14,Maps And Locations,9/7/5,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch14_20260820_154019.md,genon/out/runlogs/batch_mathematics_v_ch14_20260820_154014.log
v,15,Data Through Pictures,8/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/mathematics_v_ch15_20260820_154019.md,genon/out/runlogs/batch_mathematics_v_ch15_20260820_154014.log
