grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
vi,1,Patterns in Mathematics,8/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/mathematics_vi_ch01_20260819_133834.md,genon/out/runlogs/batch_mathematics_vi_ch01_20260819_133833.log
vi,2,Lines and Angles,20/16/12,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/mathematics_vi_ch02_20260819_133834.md,genon/out/runlogs/batch_mathematics_vi_ch02_20260819_133833.log
vi,3,Number Play,12/10/7,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/mathematics_vi_ch03_20260819_133834.md,genon/out/runlogs/batch_mathematics_vi_ch03_20260819_133833.log
vi,4,Data Handling and Presentation,14/11/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_vi_ch04_20260819_133835.md,genon/out/runlogs/batch_mathematics_vi_ch04_20260819_133833.log
vi,5,Prime Time,25/20/15,0,0.0,0.5,1,FAILURES — see report,1,,genon/out/library_reports/mathematics_vi_ch05_20260819_133835.md,genon/out/runlogs/batch_mathematics_vi_ch05_20260819_133833.log
vi,6,Perimeter and Area,21/17/13,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_vi_ch06_20260819_133836.md,genon/out/runlogs/batch_mathematics_vi_ch06_20260819_133833.log
vi,7,Fractions,17/14/10,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_vi_ch07_20260819_133836.md,genon/out/runlogs/batch_mathematics_vi_ch07_20260819_133833.log
vi,8,Playing with Constructions,23/19/14,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_vi_ch08_20260819_133837.md,genon/out/runlogs/batch_mathematics_vi_ch08_20260819_133833.log
vi,9,Symmetry,24/19/14,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/mathematics_vi_ch09_20260819_133837.md,genon/out/runlogs/batch_mathematics_vi_ch09_20260819_133833.log
vi,10,The Other Side of Zero,16/13/10,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/mathematics_vi_ch10_20260819_133837.md,genon/out/runlogs/batch_mathematics_vi_ch10_20260819_133833.log
vii,1,Large Numbers Around Us,11/9/7,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/mathematics_vii_ch01_20260819_133838.md,genon/out/runlogs/batch_mathematics_vii_ch01_20260819_133833.log
vii,2,Arithmetic Expressions,9/7/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/mathematics_vii_ch02_20260819_133838.md,genon/out/runlogs/batch_mathematics_vii_ch02_20260819_133833.log
vii,3,A Peek Beyond the Point,9/7/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/mathematics_vii_ch03_20260819_133838.md,genon/out/runlogs/batch_mathematics_vii_ch03_20260819_133833.log
vii,4,Expressions Using Letter-Numbers,9/7/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/mathematics_vii_ch04_20260819_133839.md,genon/out/runlogs/batch_mathematics_vii_ch04_20260819_133833.log
vii,5,Parallel and Intersecting Lines,15/12/9,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_vii_ch05_20260819_133839.md,genon/out/runlogs/batch_mathematics_vii_ch05_20260819_133833.log
vii,6,Number Play,9/7/5,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/mathematics_vii_ch06_20260819_133840.md,genon/out/runlogs/batch_mathematics_vii_ch06_20260819_133833.log
vii,7,A Tale of Three Intersecting Lines,12/10/7,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_vii_ch07_20260819_133840.md,genon/out/runlogs/batch_mathematics_vii_ch07_20260819_133833.log
vii,8,Working with Fractions,9/7/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/mathematics_vii_ch08_20260819_133840.md,genon/out/runlogs/batch_mathematics_vii_ch08_20260819_133833.log
vii,9,Geometric Twins,15/12/9,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/mathematics_vii_ch09_20260819_133841.md,genon/out/runlogs/batch_mathematics_vii_ch09_20260819_133833.log
vii,10,Operations with Integers,12/10/7,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/mathematics_vii_ch10_20260819_133841.md,genon/out/runlogs/batch_mathematics_vii_ch10_20260819_133833.log
