grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
vii,1,Large Numbers Around Us,11/9/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch01_20260813_180924.log
vii,2,Arithmetic Expressions,9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch02_20260813_180924.log
vii,3,A Peek Beyond the Point,9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch03_20260813_180924.log
vii,4,Expressions Using Letter-Numbers,9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch04_20260813_180924.log
vii,5,Parallel and Intersecting Lines,15/12/9,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch05_20260813_180924.log
vii,6,Number Play,9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch06_20260813_180924.log
vii,7,A Tale of Three Intersecting Lines,12/10/7,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/mathematics_vii_ch07_20260813_180926.md,genon/out/runlogs/batch_mathematics_vii_ch07_20260813_180924.log
vii,8,Working with Fractions,9/7/5,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch08_20260813_180924.log
vii,9,Geometric Twins,15/12/9,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch09_20260813_180924.log
vii,10,Operations with Integers,12/10/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch10_20260813_180924.log
vii,11,Finding Common Ground,12/10/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch11_20260813_180924.log
vii,12,Another Peek Beyond the Point,12/10/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch12_20260813_180924.log
vii,13,Connecting the Dots,17/14/10,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch13_20260813_180924.log
vii,14,Constructions and Tilings,17/14/10,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch14_20260813_180924.log
vii,15,Finding the Unknown,12/10/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_mathematics_vii_ch15_20260813_180924.log
