grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
ix,1,Exploration: Entering the World of Secondary Science,6/4,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch01_20260817_100654.md,genon/out/runlogs/batch_science_ix_ch01_20260817_100654.log
ix,2,Cell: The Building Block of Life,15/12/9,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch02_20260817_100654.md,genon/out/runlogs/batch_science_ix_ch02_20260817_100654.log
ix,3,Tissues in Action,15/12/9,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch03_20260817_100654.md,genon/out/runlogs/batch_science_ix_ch03_20260817_100654.log
ix,4,Describing Motion Around Us,22/18/13,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch04_20260817_100655.md,genon/out/runlogs/batch_science_ix_ch04_20260817_100654.log
ix,5,Exploring Mixtures and their Separation,18/15/11,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch05_20260817_100655.md,genon/out/runlogs/batch_science_ix_ch05_20260817_100654.log
ix,6,How Forces Affect Motion,21/17/13,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch06_20260817_100655.md,genon/out/runlogs/batch_science_ix_ch06_20260817_100654.log
ix,7,"Work, Energy, and Simple Machines",22/18/13,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch07_20260817_100656.md,genon/out/runlogs/batch_science_ix_ch07_20260817_100654.log
ix,8,Journey Inside the Atom,12/10/7,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch08_20260817_100656.md,genon/out/runlogs/batch_science_ix_ch08_20260817_100654.log
ix,9,Atomic Foundations of Matter,22/18/13,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch09_20260817_100656.md,genon/out/runlogs/batch_science_ix_ch09_20260817_100654.log
ix,10,Sound Waves: Characteristics and Applications,18/15/11,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch10_20260817_100656.md,genon/out/runlogs/batch_science_ix_ch10_20260817_100654.log
ix,11,Reproduction: How Life Continues,15/12/9,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch11_20260817_100657.md,genon/out/runlogs/batch_science_ix_ch11_20260817_100654.log
ix,12,Patterns in Life: Diversity and Classification,15/12/9,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch12_20260817_100657.md,genon/out/runlogs/batch_science_ix_ch12_20260817_100654.log
ix,13,"Earth as a System: Energy, Matter, and Life",9/7/5,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/science_ix_ch13_20260817_100657.md,genon/out/runlogs/batch_science_ix_ch13_20260817_100654.log
