grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
vi,1,The Wonderful World of Science,3/2,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch01_20260818_081413.md,genon/out/runlogs/batch_science_vi_ch01_20260818_081413.log
vi,2,Diversity in the Living World,21/19/17/15/13,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch02_20260818_081413.md,genon/out/runlogs/batch_science_vi_ch02_20260818_081413.log
vi,3,Mindful Eating: A Path to a Healthy Body,16/14/12/10,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch03_20260818_081414.md,genon/out/runlogs/batch_science_vi_ch03_20260818_081413.log
vi,4,Exploring Magnets,14/12/10/8,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch04_20260818_081414.md,genon/out/runlogs/batch_science_vi_ch04_20260818_081413.log
vi,5,Measurement of Length and Motion,14/12/10/8,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch05_20260818_081414.md,genon/out/runlogs/batch_science_vi_ch05_20260818_081413.log
vi,6,Materials Around Us,14/12/10/8,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch06_20260818_081415.md,genon/out/runlogs/batch_science_vi_ch06_20260818_081413.log
vi,7,Temperature and its Measurement,13/11/9/7,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch07_20260818_081415.md,genon/out/runlogs/batch_science_vi_ch07_20260818_081413.log
vi,8,A Journey through States of Water,20/18/16/14/12,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch08_20260818_081415.md,genon/out/runlogs/batch_science_vi_ch08_20260818_081413.log
vi,9,Methods of Separation in Everyday Life,20/18/16/14/12,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch09_20260818_081416.md,genon/out/runlogs/batch_science_vi_ch09_20260818_081413.log
vi,10,Living Creatures: Exploring their Characteristics,17/15/13/11/9,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch10_20260818_081416.md,genon/out/runlogs/batch_science_vi_ch10_20260818_081413.log
vi,11,Nature's Treasures,14/12/10/8,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_vi_ch11_20260818_081417.md,genon/out/runlogs/batch_science_vi_ch11_20260818_081413.log
vi,12,Beyond Earth,14/12/10/8,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch12_20260818_081417.md,genon/out/runlogs/batch_science_vi_ch12_20260818_081413.log
vii,1,The Ever-Evolving World of Science,7/5/4,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch01_20260818_081417.md,genon/out/runlogs/batch_science_vii_ch01_20260818_081413.log
vii,2,"Exploring Substances: Acidic, Basic, and Neutral",15/13/11/9,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch02_20260818_081418.md,genon/out/runlogs/batch_science_vii_ch02_20260818_081413.log
vii,3,Electricity — Circuits and their Components,18/16/14/12/10,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch03_20260818_081418.md,genon/out/runlogs/batch_science_vii_ch03_20260818_081413.log
vii,4,The World of Metals and Non-metals,17/15/13/11/9,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch04_20260818_081418.md,genon/out/runlogs/batch_science_vii_ch04_20260818_081413.log
vii,5,Changes Around Us — Physical and Chemical,15/13/11/9,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch05_20260818_081419.md,genon/out/runlogs/batch_science_vii_ch05_20260818_081413.log
vii,6,Adolescence — A Stage of Growth and Change,11/9/7,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch06_20260818_081419.md,genon/out/runlogs/batch_science_vii_ch06_20260818_081413.log
vii,7,Heat Transfer in Nature,14/12/10/8,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch07_20260818_081419.md,genon/out/runlogs/batch_science_vii_ch07_20260818_081413.log
vii,8,Measurement of Time and Motion,14/12/10/8,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch08_20260818_081420.md,genon/out/runlogs/batch_science_vii_ch08_20260818_081413.log
vii,9,Life Processes in Animals,17/15/13/11/9,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch09_20260818_081420.md,genon/out/runlogs/batch_science_vii_ch09_20260818_081413.log
vii,10,Life Processes in Plants,20/18/16/14/12,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch10_20260818_081421.md,genon/out/runlogs/batch_science_vii_ch10_20260818_081413.log
vii,11,Light — Shadows and Reflections,18/16/14/12/10,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch11_20260818_081421.md,genon/out/runlogs/batch_science_vii_ch11_20260818_081413.log
vii,12,"Earth, Moon, and the Sun",14/12/10/8,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_vii_ch12_20260818_081421.md,genon/out/runlogs/batch_science_vii_ch12_20260818_081413.log
viii,1,Exploring the Investigative World of Science,6/4,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch01_20260818_081422.md,genon/out/runlogs/batch_science_viii_ch01_20260818_081413.log
viii,2,The Invisible Living World: Beyond Our Naked Eye,17/15/13/11/9,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch02_20260818_081422.md,genon/out/runlogs/batch_science_viii_ch02_20260818_081413.log
viii,3,Health: The Ultimate Treasure,9/7/5,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/science_viii_ch03_20260818_081422.md,genon/out/runlogs/batch_science_viii_ch03_20260818_081413.log
viii,4,Electricity: Magnetic and Heating Effects,15/13/11/9,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch04_20260818_081423.md,genon/out/runlogs/batch_science_viii_ch04_20260818_081413.log
viii,5,Exploring Forces,18/16/14/12/10,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch05_20260818_081423.md,genon/out/runlogs/batch_science_viii_ch05_20260818_081413.log
viii,6,"Pressure, Winds, Storms, and Cyclones",12/10/8/7,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch06_20260818_081423.md,genon/out/runlogs/batch_science_viii_ch06_20260818_081413.log
viii,7,Particulate Nature of Matter,18/16/14/12/10,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch07_20260818_081424.md,genon/out/runlogs/batch_science_viii_ch07_20260818_081413.log
viii,8,"Nature of Matter: Elements, Compounds, and Mixtures",14/12/10/8,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch08_20260818_081424.md,genon/out/runlogs/batch_science_viii_ch08_20260818_081413.log
viii,9,"The Amazing World of Solutes, Solvents, and Solutions",17/15/13/11/9,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch09_20260818_081424.md,genon/out/runlogs/batch_science_viii_ch09_20260818_081413.log
viii,10,Light: Mirrors and Lenses,15/13/11/9,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/science_viii_ch10_20260818_081425.md,genon/out/runlogs/batch_science_viii_ch10_20260818_081413.log
viii,11,Keeping Time with the Skies,15/13/11/9,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch11_20260818_081425.md,genon/out/runlogs/batch_science_viii_ch11_20260818_081413.log
viii,12,How Nature Works in Harmony,12/10/8/6,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch12_20260818_081426.md,genon/out/runlogs/batch_science_viii_ch12_20260818_081413.log
viii,13,"Our Home: Earth, a Unique Life Sustaining Planet",12/10/8/6,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/science_viii_ch13_20260818_081426.md,genon/out/runlogs/batch_science_viii_ch13_20260818_081413.log
