grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
vi,1,The Wonderful World of Science,3/2,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch01_20260818_130320.md,genon/out/runlogs/batch_science_vi_ch01_20260818_130319.log
vi,2,Diversity in the Living World,21/19/17/15/13,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch02_20260818_130320.md,genon/out/runlogs/batch_science_vi_ch02_20260818_130319.log
vi,3,Mindful Eating: A Path to a Healthy Body,16/14/12/10,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch03_20260818_130321.md,genon/out/runlogs/batch_science_vi_ch03_20260818_130319.log
vi,4,Exploring Magnets,14/12/10/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch04_20260818_130321.md,genon/out/runlogs/batch_science_vi_ch04_20260818_130319.log
vi,5,Measurement of Length and Motion,14/12/10/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch05_20260818_130322.md,genon/out/runlogs/batch_science_vi_ch05_20260818_130319.log
vi,6,Materials Around Us,14/12/10/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch06_20260818_130322.md,genon/out/runlogs/batch_science_vi_ch06_20260818_130319.log
vi,7,Temperature and its Measurement,13/11/9/7,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch07_20260818_130322.md,genon/out/runlogs/batch_science_vi_ch07_20260818_130319.log
vi,8,A Journey through States of Water,20/18/16/14/12,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch08_20260818_130323.md,genon/out/runlogs/batch_science_vi_ch08_20260818_130319.log
vi,9,Methods of Separation in Everyday Life,20/18/16/14/12,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch09_20260818_130323.md,genon/out/runlogs/batch_science_vi_ch09_20260818_130319.log
vi,10,Living Creatures: Exploring their Characteristics,17/15/13/11/9,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch10_20260818_130324.md,genon/out/runlogs/batch_science_vi_ch10_20260818_130319.log
vi,11,Nature's Treasures,14/12/10/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch11_20260818_130324.md,genon/out/runlogs/batch_science_vi_ch11_20260818_130319.log
vi,12,Beyond Earth,14/12/10/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vi_ch12_20260818_130325.md,genon/out/runlogs/batch_science_vi_ch12_20260818_130319.log
