grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
vii,1,The Ever-Evolving World of Science,7/5/4,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch01_20260818_121324.md,genon/out/runlogs/batch_science_vii_ch01_20260818_121324.log
vii,2,"Exploring Substances: Acidic, Basic, and Neutral",15/13/11/9,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch02_20260818_121325.md,genon/out/runlogs/batch_science_vii_ch02_20260818_121324.log
vii,3,Electricity — Circuits and their Components,18/16/14/12/10,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch03_20260818_121325.md,genon/out/runlogs/batch_science_vii_ch03_20260818_121324.log
vii,4,The World of Metals and Non-metals,17/15/13/11/9,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch04_20260818_121326.md,genon/out/runlogs/batch_science_vii_ch04_20260818_121324.log
vii,5,Changes Around Us — Physical and Chemical,15/13/11/9,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch05_20260818_121326.md,genon/out/runlogs/batch_science_vii_ch05_20260818_121324.log
vii,6,Adolescence — A Stage of Growth and Change,11/9/7,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch06_20260818_121326.md,genon/out/runlogs/batch_science_vii_ch06_20260818_121324.log
vii,7,Heat Transfer in Nature,14/12/10/8,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch07_20260818_121327.md,genon/out/runlogs/batch_science_vii_ch07_20260818_121324.log
vii,8,Measurement of Time and Motion,14/12/10/8,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch08_20260818_121327.md,genon/out/runlogs/batch_science_vii_ch08_20260818_121324.log
vii,9,Life Processes in Animals,17/15/13/11/9,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch09_20260818_121328.md,genon/out/runlogs/batch_science_vii_ch09_20260818_121324.log
vii,10,Life Processes in Plants,20/18/16/14/12,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch10_20260818_121328.md,genon/out/runlogs/batch_science_vii_ch10_20260818_121324.log
vii,11,Light — Shadows and Reflections,18/16/14/12/10,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch11_20260818_121329.md,genon/out/runlogs/batch_science_vii_ch11_20260818_121324.log
vii,12,"Earth, Moon, and the Sun",14/12/10/8,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/science_vii_ch12_20260818_121329.md,genon/out/runlogs/batch_science_vii_ch12_20260818_121324.log
