grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
vi,1,Chapter 1: Locating Places on the Earth,9/7/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch01_20260816_121902.md,genon/out/runlogs/batch_social_sciences_vi_ch01_20260816_121901.log
vi,2,Chapter 02: Oceans and Continents,15/12/9,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch02_20260816_121902.md,genon/out/runlogs/batch_social_sciences_vi_ch02_20260816_121901.log
vi,3,Chapter 3: Landforms and Life,17/14/10,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch03_20260816_121902.md,genon/out/runlogs/batch_social_sciences_vi_ch03_20260816_121901.log
vi,4,Chapter 4: Timeline and Sources of History,15/12/9,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch04_20260816_121903.md,genon/out/runlogs/batch_social_sciences_vi_ch04_20260816_121901.log
vi,5,"Chapter 5: India, That Is Bharat",13/11/8,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch05_20260816_121903.md,genon/out/runlogs/batch_social_sciences_vi_ch05_20260816_121901.log
vi,6,Chapter 6: The Beginnings of Indian Civilisation,24/19/14,0,0.0,0.5,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch06_20260816_121903.md,genon/out/runlogs/batch_social_sciences_vi_ch06_20260816_121901.log
vi,7,Chapter 7: India's Cultural Roots,22/18/13,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch07_20260816_121904.md,genon/out/runlogs/batch_social_sciences_vi_ch07_20260816_121901.log
vi,8,"Chapter 8: Unity in Diversity, or 'Many in the One'",13/11/8,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch08_20260816_121904.md,genon/out/runlogs/batch_social_sciences_vi_ch08_20260816_121901.log
vi,9,Chapter 9: Family and Community,15/12/9,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch09_20260816_121904.md,genon/out/runlogs/batch_social_sciences_vi_ch09_20260816_121901.log
vi,10,Chapter 10: Grassroots Democracy – Part 1 Governance,15/12/9,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch10_20260816_121905.md,genon/out/runlogs/batch_social_sciences_vi_ch10_20260816_121901.log
vi,11,Chapter 11: Grassroots Democracy – Part 2: Local Government in Rural Areas,19/15/11,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch11_20260816_121905.md,genon/out/runlogs/batch_social_sciences_vi_ch11_20260816_121901.log
vi,12,Grassroots Democracy – Part 3 Local Government in Urban Areas,13/11/8,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch12_20260816_121905.md,genon/out/runlogs/batch_social_sciences_vi_ch12_20260816_121901.log
vi,13,Chapter 13: The Value of Work,11/9/7,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch13_20260816_121906.md,genon/out/runlogs/batch_social_sciences_vi_ch13_20260816_121901.log
vi,14,Chapter 14: Economic Activities Around Us,9/7/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vi_ch14_20260816_121906.md,genon/out/runlogs/batch_social_sciences_vi_ch14_20260816_121901.log
vii,1,Geographical Diversity of India,19/15/11,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vii_ch01_20260816_121906.md,genon/out/runlogs/batch_social_sciences_vii_ch01_20260816_121901.log
vii,2,Understanding the Weather,9/7/5,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vii_ch02_20260816_121907.md,genon/out/runlogs/batch_social_sciences_vii_ch02_20260816_121901.log
vii,3,Climates of India,21/17/13,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vii_ch03_20260816_121907.md,genon/out/runlogs/batch_social_sciences_vii_ch03_20260816_121901.log
vii,4,New Beginnings - Cities and States,19/15/11,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vii_ch04_20260816_121908.md,genon/out/runlogs/batch_social_sciences_vii_ch04_20260816_121901.log
vii,5,The Rise of Empires,19/15/11,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vii_ch05_20260816_121908.md,genon/out/runlogs/batch_social_sciences_vii_ch05_20260816_121901.log
vii,6,The Age of Reorganisation,18/15/11,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vii_ch06_20260816_121908.md,genon/out/runlogs/batch_social_sciences_vii_ch06_20260816_121901.log
vii,7,The Gupta Era - An Age of Tireless Creativity,18/15/11,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vii_ch07_20260816_121909.md,genon/out/runlogs/batch_social_sciences_vii_ch07_20260816_121901.log
vii,8,How the Land Becomes Sacred,16/13/10,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vii_ch08_20260816_121909.md,genon/out/runlogs/batch_social_sciences_vii_ch08_20260816_121901.log
