grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
vii,1,Geographical Diversity of India,19/15/11,0,0.0,0.4,0,ALL PASS,1,,genon/out/library_reports/social_sciences_vii_ch01_20260816_113720.md,genon/out/runlogs/batch_social_sciences_vii_ch01_20260816_113720.log
vii,2,Understanding the Weather,9/7/5,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch02_20260816_113720.md,genon/out/runlogs/batch_social_sciences_vii_ch02_20260816_113720.log
vii,3,Climates of India,21/17/13,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch03_20260816_113721.md,genon/out/runlogs/batch_social_sciences_vii_ch03_20260816_113720.log
vii,4,New Beginnings - Cities and States,19/15/11,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch04_20260816_113721.md,genon/out/runlogs/batch_social_sciences_vii_ch04_20260816_113720.log
vii,5,The Rise of Empires,19/15/11,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch05_20260816_113721.md,genon/out/runlogs/batch_social_sciences_vii_ch05_20260816_113720.log
vii,6,The Age of Reorganisation,18/15/11,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch06_20260816_113722.md,genon/out/runlogs/batch_social_sciences_vii_ch06_20260816_113720.log
vii,7,The Gupta Era - An Age of Tireless Creativity,18/15/11,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch07_20260816_113722.md,genon/out/runlogs/batch_social_sciences_vii_ch07_20260816_113720.log
vii,8,How the Land Becomes Sacred,16/13/10,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch08_20260816_113722.md,genon/out/runlogs/batch_social_sciences_vii_ch08_20260816_113720.log
vii,9,From the Rulers to the Ruled - Types of Governments,21/17/13,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch09_20260816_113723.md,genon/out/runlogs/batch_social_sciences_vii_ch09_20260816_113720.log
vii,10,The Constitution of India - An Introduction,18/15/11,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch10_20260816_113723.md,genon/out/runlogs/batch_social_sciences_vii_ch10_20260816_113720.log
vii,11,From Barter to Money,14/11/8,0,0.0,0.3,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch11_20260816_113723.md,genon/out/runlogs/batch_social_sciences_vii_ch11_20260816_113720.log
vii,12,Understanding Markets,18/15/11,0,0.0,0.4,1,FAILURES — see report,1,,genon/out/library_reports/social_sciences_vii_ch12_20260816_113724.md,genon/out/runlogs/batch_social_sciences_vii_ch12_20260816_113720.log
