grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
viii,1,Chapter 1: Natural Resources and Their Use,11/9/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch01_20260813_175730.log
viii,2,Chapter 2: Reshaping India's Political Map,15/12/9,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch02_20260813_175730.log
viii,3,Chapter 3: The Rise of the Marathas,16/13/10,0,0.0,0.3,0,ALL PASS,1,,genon/out/library_reports/social_sciences_viii_ch03_20260813_175730.md,genon/out/runlogs/batch_social_sciences_viii_ch03_20260813_175730.log
viii,4,Chapter 4: The Colonial Era in India,19/15/11,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch04_20260813_175730.log
viii,5,Chapter 5: Universal Franchise and India's Electoral System,12/10/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch05_20260813_175730.log
viii,6,Chapter 6: The Parliamentary System: Legislature and Executive,12/10/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch06_20260813_175730.log
viii,7,Chapter 7: Factors of Production,12/10/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch07_20260813_175730.log
viii,8,Chapter 8: World Geography: Some Glimpses,13/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch08_20260813_175730.log
viii,9,Chapter 9: India's Long Road to Independence,17/14/10,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch09_20260813_175730.log
viii,10,Chapter 10: A Journey Through Indian Architecture,12/10/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch10_20260813_175730.log
viii,11,Chapter 11: The Role of the Judiciary in Our Society,15/12/9,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch11_20260813_175730.log
viii,12,Chapter 12: Citizenship: Rights and Duties,13/11/8,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch12_20260813_175730.log
viii,13,Chapter 13: Dynamics of Population,11/9/7,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch13_20260813_175730.log
viii,14,Chapter 14: India's Urban Landscape,15/12/9,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch14_20260813_175730.log
viii,15,Chapter 15: Cultural Currents: 13th to 17th Centuries,17/14/10,0,0.0,0.2,1,FAILED,1,,,genon/out/runlogs/batch_social_sciences_viii_ch15_20260813_175730.log
